,0
feature 1226,0.0
feature 1227,0.0
feature 1228,0.0
feature 1229,0.0
feature 1230,0.0
feature 1231,0.0
feature 1232,0.0
feature 1233,0.0
feature 1234,0.0
feature 1235,0.0
feature 1236,0.0
feature 1237,0.0
feature 1238,0.0
feature 1239,0.0
feature 1240,0.0
feature 1241,0.0
feature 1242,0.0
feature 1243,0.0
feature 1244,0.00042105263157894425
feature 1245,0.0
feature 1246,0.001684210526315777
feature 1247,0.0
feature 1248,0.0
feature 1249,0.0
feature 1250,-0.00042105263157894425
feature 1251,0.0
feature 1252,0.0
feature 1253,0.0
feature 1254,0.0
feature 1255,0.0
feature 1256,0.0
feature 1257,0.0
feature 1258,0.0
feature 1259,0.0
feature 1260,0.0
feature 1261,0.0
feature 1262,0.0
feature 1263,0.0
feature 1264,0.0
feature 1265,0.0
feature 1266,0.0
feature 1267,0.0
feature 1268,0.0
feature 1269,0.0
feature 1270,0.0
feature 1271,0.0
feature 1272,0.0
feature 1273,0.0
feature 1274,0.0
feature 1275,0.0
feature 1276,0.0
feature 1277,0.0
feature 1278,0.0
feature 1279,0.0
feature 1280,0.0
feature 1281,0.0
feature 1282,0.0
feature 1283,0.0
feature 1284,0.0
feature 1285,0.0
feature 1286,0.0
feature 1287,0.0
feature 1288,0.0
feature 1289,0.0
feature 1290,0.0
feature 1291,0.0
feature 1292,0.0
feature 1293,0.0
feature 1294,0.0
feature 1295,0.0
feature 1296,0.0
feature 1297,0.0
feature 1298,0.0
feature 1299,0.0
feature 1300,0.0
feature 1301,0.0
feature 1302,0.0
feature 1303,0.0
feature 1304,0.0
feature 1305,0.0
feature 1306,0.0
feature 1307,0.0
feature 1308,0.0
feature 1309,0.0
feature 1310,0.0
feature 1311,0.0
feature 1312,0.0
feature 1313,0.0
feature 1314,0.0
feature 1315,0.0
feature 1316,0.0
feature 1317,0.0
feature 1318,0.0
feature 1319,0.0
feature 1320,0.0
feature 1321,0.0
feature 1322,0.0
feature 1323,0.0
feature 1324,0.0
feature 1325,0.0
feature 1326,0.0
feature 1327,0.0
feature 1328,0.0
feature 1329,0.0
feature 1330,0.0
feature 1331,0.0
feature 1332,0.0
feature 1333,0.0
feature 1334,0.0
feature 1335,0.0
feature 1336,0.0
feature 1337,0.0
feature 1338,0.0
feature 1339,0.0
feature 1340,0.0
feature 1341,0.0
feature 1342,0.0
feature 1343,0.0
feature 1344,0.0
feature 1345,0.0
feature 1346,0.0
feature 1347,0.0
feature 1348,0.0
feature 1349,0.0
feature 1350,0.0
feature 1351,0.0
feature 1352,0.0
feature 1353,0.0
feature 1354,0.0
feature 1355,0.0
feature 1356,0.0
feature 1357,0.0
feature 1358,0.0
feature 1359,0.0
feature 1360,0.0
feature 1361,0.0
feature 1362,0.0
feature 1363,0.0
feature 1364,0.0
feature 1365,0.0
feature 1366,0.0
feature 1367,0.0
feature 1368,0.0
feature 1369,0.0
feature 1370,0.0
feature 1371,0.0
feature 1372,0.0
feature 1373,0.0
feature 1374,0.0
feature 1375,0.0
feature 1376,0.0
feature 1377,0.0
feature 1378,0.0
feature 1379,0.0
feature 1380,0.0
feature 1381,0.0
feature 1382,0.0
feature 1383,0.0
feature 1384,0.0
feature 1385,0.0
feature 1386,0.0
feature 1387,0.0
feature 1388,0.0
feature 1389,0.0
feature 1390,0.0
feature 1391,0.0
feature 1392,0.0
feature 1393,0.0
feature 1394,0.0
feature 1395,0.0
feature 1396,0.0
feature 1397,0.0
feature 1398,0.0
feature 1399,0.0
feature 1400,0.0
feature 1401,0.0
feature 1402,0.0
feature 1403,0.0
feature 1404,0.0
feature 1405,0.0
feature 1406,0.0
feature 1407,0.0
feature 1408,0.0
feature 1409,0.0
feature 1410,0.0
feature 1411,0.0
feature 1412,0.0
feature 1413,0.0
feature 1414,0.0
feature 1415,0.0
feature 1416,0.0
feature 1417,0.0
feature 1418,0.0
feature 1419,0.0
feature 1420,0.0
feature 1421,0.0
feature 1422,0.0
feature 1423,0.0
feature 1424,0.0
feature 1425,0.0
