trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,framewise_displacement,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,a_comp_cor_05,csf,white_matter
-0.0149754,-0.0344067,-0.033922,0.000184595,0.000103404,0.00134171,0.104882197,-0.0440720525,-0.0915526333,0.08119845889999998,0.047029635,0.0768173191,-0.08521627989999998,442.21421691014666,452.70300195458793
-0.00636213,-0.103103,-0.0337899,0.000843097,-0.000596565,0.00123187,0.15085722,-0.023869034700000003,-0.0773788396,-0.0587854636,0.1095951112,-0.0617378342,-0.1135325801,443.02569660358125,452.4609287155972
-0.0251354,0.0296658,-0.0420022,-0.00020249,-9.48409e-05,0.00150587,0.250819925,0.0277499873,-0.0257057167,0.0790754053,0.019476514,0.1459698855,-0.0469580648,443.4335106065071,452.53905378464015
0.000869693,-0.156927,-0.0736329,0.00101935,-0.00031913,0.00151035,0.31675904800000004,0.0726072932,-0.0200394262,-0.1218882026,0.1099479293,-0.0502474586,-0.17920201239999994,441.724173275107,452.5727741504992
-0.0228859,-0.000983915,-0.0172655,0.000118951,-0.0001913,0.00150572,0.28770902800000003,0.0523671761,-0.015810290600000002,0.1728687061,-0.0153950174,0.0956553044,-0.071071418,442.9526552896244,452.36548307486567
-0.0216099,-0.0468779,-0.0397032,0.000337951,-0.00028502700000000003,0.00166193,0.093054535,0.1565089246,0.065196596,-0.17677100690000003,0.0815235091,-0.022341563,-0.0126000346,442.2591504997836,452.1737539688141
-0.0214148,-0.09703939999999998,-0.032841,0.000555382,-0.000245711,0.00152044,0.07713064999999998,0.1445924816,0.0185542696,0.2294916741,-0.0055629985,-0.0453095687,-0.0139099039,441.4107236873463,451.8189476985753
-0.0259997,0.0203217,-0.0327952,-2.24853e-06,-0.00029026,0.00140202,0.1580217765,0.053265583,0.08970721769999998,-0.1188080098,0.07859020059999998,0.0144008208,0.1321013125,442.910009087208,452.51205260607423
-0.00644184,-0.130922,-0.0484946,0.00149625,-0.0011329,0.00140202,0.30355788650000004,0.0083281419,0.1339322666,0.1442393891,0.0492680346,-0.1288915044,0.0306041943,443.3936557918852,452.9575015424241
-0.022103,0.0262975,-0.0247329,-0.000345059,-0.000469338,0.00154596,0.32908291,-0.105385611,0.0505452768,-0.1026194071,0.09913357330000001,0.0917243649,0.0047356088,443.4637118716729,453.6891629715743
-0.00689201,-0.123,-0.031638,0.000664372,-0.000995418,0.00165376,0.25357914,-0.0608682988,0.1359678988,0.0638853555,0.1390299222,-0.0580166696,-0.0307083686,444.1177495396412,453.3894540371375
-0.0321215,0.0246847,-0.00191649,-0.000132231,-0.0009096760000000002,0.00164813,0.24703445,-0.0399366012,0.0558125798,-0.0539922657,0.1560910539,0.1045802089,0.0251741326,442.5903176461845,453.2693796716249
-0.0125667,-0.121403,-0.0402121,0.0007590939999999997,-0.000821055,0.00164382,0.25315090999999995,-0.0022634818,0.0718207691,0.0543135545,0.1769292525,-0.08167760759999998,0.08264720879999998,443.11471085880686,452.8316868341871
-0.0347923,0.0193151,0.00128569,-0.00031114,-0.000695834,0.00140202,0.27630424000000003,0.0399703883,0.0211784038,-0.0086590116,0.1117120418,0.0053743154,0.2009638892,443.0789655873269,452.5051177411645
-0.0202307,-0.0680417,-0.0306933,0.0005732059999999999,-0.000837429,0.00166279,0.19823294,-0.0155155987,-0.1043573736,0.009319077,0.1814602183,-0.0948738325,0.1229508045,442.3501807573052,452.7647023435816
-0.0209663,-0.0411803,-0.0231881,-0.000149319,-0.00101581,0.00168252,0.08113399999999997,-0.0712919982,-0.0526294175,-0.0186209951,0.1328918674,-0.06600811,0.0145329374,443.94022502976406,453.30822652852953
-0.0216243,-0.0516914,-0.04595,-0.000149319,-0.00120808,0.0017635699999999997,0.04759699999999997,-0.0875632466,-0.0020814754,0.07576459269999998,0.1557437825,0.0050035482,-0.0784814508,444.7208831496342,453.56161454710985
-0.0319626,-0.0265415,0.00120342,-0.000571641,-0.000948619,0.0020936999999999996,0.13323727,-0.0774688058,0.1632173544,-0.0626571027,0.1203186231,0.0304181762,-0.0442037143,444.56747312875984,453.76184632843933
-0.0374497,-0.052672,-0.0264436,0.0004952569999999999,-0.000572075,0.00204108,0.13406772000000003,0.016142042199999998,0.13569785339999998,0.055479023,0.1156989709,0.0428694587,-0.033634352,443.54532119538806,453.2895953005543
-0.0331149,-0.0154197,0.0183396,-0.0004027530000000001,-0.0011329,0.00211121,0.16281855,0.159595863,0.1347506202,-0.0719085311,0.0348519274,0.0809586082,0.016888938899999997,441.9474455293944,452.44161727359966
-0.032900599999999995,-0.0703239,-0.0380991,0.000803035,-0.000943936,0.00203509,0.1851008,0.2039257418,-0.0155664928,0.10039150289999996,0.0912203612,-0.0216495113,-0.0600026329,441.2423874956261,451.8008556646421
-0.0304368,0.00646103,0.00537342,-0.000197093,-0.000946665,0.00212469,0.17734410000000006,0.2247453375,-0.0495026975,-0.0518954153,0.0904508856,0.1095377217,0.07812799690000001,440.5488439365103,451.61389635203926
